time,const1,const2,const3,BL1,BL2,BL3
1,82,80,78.83333333,81,79.8,78.8
2,81.75,80,79.375,81,79.8,78.8
3,81.83333333,79.6,79.9,81,79.8,78.8
4,81.75,80.125,79.86666667,81,79.8,78.8
5,81.8,80.1,79.9125,81,79.8,78.8
6,81.58333333,80,79.93333,81,79.8,78.8
7,81.78571429,79.85714286,79.45,81,79.8,78.8
8,81.3125,80.125,79.13636364,81,79.8,78.8
9,81.94444444,80.33333333,79.96153846,81,79.8,78.8
10,81.7,79.95,79.60714286,81,79.8,78.8
11,81.54545455,79.90909091,79.88235294,81,79.8,78.8
12,81.08333333,79.54166667,79.61111111,81,79.8,78.8
13,81.07692308,79.73076923,79.65217391,81,79.8,78.8
14,80.64285714,79.42857143,79.77083333,81,79.8,78.8
15,80.6,79.56666667,79.71428571,81,79.8,78.8
16,80.4375,79.25,79.81034483,81,79.8,78.8
17,80.61764706,79.29411765,79.61290323,81,79.8,78.8
18,80.38888889,79.16666667,79.46875,81,79.8,78.8
19,80.36842105,79.13157895,79.24390244,81,79.8,78.8
20,80.35,79.225,79.21428571,81,79.8,78.8
21,80.47619048,79.45238095,79.25555556,81,79.8,78.8
22,80.13636364,79.22727273,79.32608696,81,79.8,78.8
23,80.32608696,79.36956522,79.38297872,81,79.8,78.8
24,80.35416667,79.5,79.34375,81,79.8,78.8
25,80.36,79.58,79.39795918,81,79.8,78.8
26,80.46153846,79.59615385,79.49019608,81,79.8,78.8
27,80.53703704,79.53703704,79.375,81,79.8,78.8
28,80.41071429,79.44642857,79.24528302,81,79.8,78.8
29,80.62068966,79.5862069,79.21296296,81,79.8,78.8
30,80.51666667,79.5,79.29464286,81,79.8,78.8
31,80.4516129,79.53225806,79.21929825,81,79.8,78.8
32,80.375,79.390625,79.225,81,79.8,78.8
33,80.39393939,79.42424242,79.17741935,81,79.8,78.8
34,80.41176471,79.48529412,79.18461538,81,79.8,78.8
35,80.32857143,79.34285714,79.26515152,81,79.8,78.8
36,80.23611111,79.36111111,79.26086957,81,79.8,78.8
37,80.25675676,79.31081081,79.20714286,81,79.8,78.8
38,80.21052632,79.25,78.79069767,81,79.8,78.8
39,80.17948718,79.14102564,78.74431818,81,79.8,78.8
40,80.225,79.175,78.51485149,81,79.8,78.8
41,80.31707317,79.19512195,78.5776699,81,79.8,78.8
42,80.33333333,79.22619048,78.67619048,81,79.8,78.8
43,80.31395349,79.24418605,78.72169811,81,79.8,78.8
44,80.35227273,79.27272727,78.69626168,81,79.8,78.8
45,80.46666667,79.31111111,78.66363636,81,79.8,78.8
46,80.48913043,79.15217391,78.63063063,81,79.8,78.8
47,80.53191489,79.23404255,78.62831858,81,79.8,78.8
48,80.52083333,79.25,78.65652174,81,79.8,78.8
49,80.63265306,79.37755102,78.63793103,81,79.8,78.8
50,80.65,79.49,78.67355372,81,79.8,78.8
51,80.76470588,79.58823529,78.63709677,81,79.8,78.8
52,80.65384615,79.47115385,78.52692308,81,79.8,78.8
53,80.50943396,79.37735849,78.51908397,81,79.8,78.8
54,80.41666667,79.31481481,78.46666667,81,79.8,78.8
55,80.43636364,79.4,78.5,81,79.8,78.8
56,80.5,79.45535714,78.49635036,81,79.8,78.8
57,80.5,79.44736842,78.53571429,81,79.8,78.8
58,80.48275862,79.46551724,78.5177305,81,79.8,78.8
59,80.41525424,79.46610169,78.48591549,81,79.8,78.8
60,80.43333333,79.44166667,78.52941176,81,79.8,78.8
61,80.46721311,79.43442623,78.52272727,81,79.8,78.8
62,80.37903226,79.34677419,78.53846154,81,79.8,78.8
63,80.35714286,79.37301587,78.55031447,81,79.8,78.8
64,80.375,79.453125,78.55246914,81,79.8,78.8
65,80.48461538,79.5,78.53963415,81,79.8,78.8
66,80.58333333,79.59848485,78.56586826,81,79.8,78.8
67,80.64925373,79.70149254,78.62130178,81,79.8,78.8
68,80.64705882,79.72058824,78.64411765,81,79.8,78.8
69,80.60869565,79.65217391,78.61695906,81,79.8,78.8
70,80.57857143,79.67857143,78.60755814,81,79.8,78.8
71,80.55633803,79.67605634,78.61647727,81,79.8,78.8
72,80.54861111,79.64583333,78.63841808,81,79.8,78.8
73,80.41780822,79.5890411,78.63687151,81,79.8,78.8
74,80.43243243,79.60135135,78.60769231,81,79.8,78.8
75,80.46,79.62,78.60659898,81,79.8,78.8
76,80.43421053,79.55263158,78.61764706,81,79.8,78.8
77,80.40909091,79.53246753,78.61778846,81,79.8,78.8
78,80.41666667,79.53205128,78.63443396,81,79.8,78.8
79,80.38607595,79.55063291,78.62206573,81,79.8,78.8
80,80.25625,79.46875,78.6588785,81,79.8,78.8
81,80.25925926,79.43209877,78.64418605,81,79.8,78.8
82,80.2804878,79.45731707,78.66820276,81,79.8,78.8
83,80.31927711,79.48192771,78.65825688,81,79.8,78.8
84,80.26785714,79.46428571,78.68949772,81,79.8,78.8
85,80.22352941,79.33529412,78.66515837,81,79.8,78.8
86,80.25581395,79.40116279,78.63555556,81,79.8,78.8
87,80.27011494,79.38505747,78.63755459,81,79.8,78.8
88,80.19886364,79.32954545,78.64592275,81,79.8,78.8
89,80.16853933,79.30898876,78.64915966,81,79.8,78.8
90,80.13333333,79.27777778,78.61111111,81,79.8,78.8
91,80.14285714,79.2967033,78.63673469,81,79.8,78.8
92,81.14673913,80.35326087,79.63157895,81,79.8,78.8
93,81.17741935,80.3655914,79.61693548,81,79.8,78.8
94,81.67659574,80.34574468,79.63052209,81,79.8,78.8
95,82.09473684,80.7,79.614,81,79.8,78.8
